Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
10/25/2024,Team G,Team H,1,20:00,5,5,0,0,Team G,21,Faceoff Win,0,0.5,Backhand,,,,26.0,,
10/25/2024,Team G,Team H,1,19:58,5,5,0,0,Team G,4,Puck Recovery,40,9.5,,,,,,,
10/25/2024,Team G,Team H,1,19:55,5,5,0,0,Team G,4,Play,60,6.5,Direct,,,,55.0,54.0,-35.5
10/25/2024,Team G,Team H,1,19:53,5,5,0,0,Team G,55,Play,25,-37.5,Direct,,,,21.0,-16.0,-0.5
10/25/2024,Team G,Team H,1,19:52,5,5,0,0,Team G,21,Zone Entry,-24,-1.5,Carried,,,,2.0,,
10/25/2024,Team G,Team H,1,19:50,5,5,0,0,Team G,21,Shot,-69,-4.5,Snapshot,On Net,f,f,,,
10/25/2024,Team G,Team H,1,19:48,5,5,0,0,Team H,2,Puck Recovery,-98,-10.5,,,,,,,
10/25/2024,Team G,Team H,1,19:46,5,5,0,0,Team H,2,Incomplete Play,-96,-17.5,Indirect,,,,18.0,-78.0,-26.5
10/25/2024,Team G,Team H,1,19:44,5,5,0,0,Team G,14,Puck Recovery,-53,-40.5,,,,,,,
10/25/2024,Team G,Team H,1,19:42,5,5,0,0,Team G,14,Play,-53,-26.5,Direct,,,,55.0,-30.0,-3.5
10/25/2024,Team G,Team H,1,19:41,5,5,0,0,Team G,55,Shot,-30,-3.5,Snapshot,On Net,t,t,,,
10/25/2024,Team G,Team H,1,19:38,5,5,0,0,Team G,83,Puck Recovery,-57,-34.5,,,,,,,
10/25/2024,Team G,Team H,1,19:38,5,5,0,0,Team G,83,Play,-57,-34.5,Direct,,,,55.0,-31.0,-14.5
10/25/2024,Team G,Team H,1,19:38,5,5,0,0,Team G,55,Shot,-31,-14.5,Snapshot,On Net,t,t,,,
10/25/2024,Team G,Team H,1,19:35,5,5,0,0,Team G,14,Puck Recovery,-60,12.5,,,,,,,
10/25/2024,Team G,Team H,1,19:35,5,5,0,0,Team G,14,Play,-60,12.5,Indirect,,,,4.0,-35.0,40.5
10/25/2024,Team G,Team H,1,19:33,5,5,0,0,Team G,4,Play,-44,40.5,Indirect,,,,21.0,-98.0,-0.5
10/25/2024,Team G,Team H,1,19:26,5,5,0,0,Team H,26,Puck Recovery,-53,-34.5,,,,,,,
10/25/2024,Team G,Team H,1,19:26,5,5,0,0,Team H,26,Play,-53,-34.5,Direct,,,,13.0,-48.0,-16.5
10/25/2024,Team G,Team H,1,19:23,5,5,0,0,Team H,13,Dump In/Out,-10,-25.5,Lost,,,,,,
10/25/2024,Team G,Team H,1,19:20,5,5,0,0,Team G,55,Puck Recovery,91,-15.5,,,,,,,
10/25/2024,Team G,Team H,1,19:20,5,5,0,0,Team H,26,Faceoff Win,-69,-21.5,Backhand,,,,54.0,,
10/25/2024,Team G,Team H,1,19:18,5,5,0,0,Team H,2,Puck Recovery,-97,-13.5,,,,,,,
10/25/2024,Team G,Team H,1,19:18,5,5,0,0,Team H,2,Incomplete Play,-97,-13.5,Indirect,,,,26.0,-63.0,-37.5
10/25/2024,Team G,Team H,1,19:16,5,5,0,0,Team G,23,Puck Recovery,-36,-26.5,,,,,,,
10/25/2024,Team G,Team H,1,19:13,5,5,0,0,Team G,23,Play,-33,23.5,Indirect,,,,84.0,-98.0,-6.5
