Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
11/15/2024,Team C,Team D,1,20:00,5,5,0,0,Team D,45,Faceoff Win,0,0.5,Backhand,,,,91.0,,
11/15/2024,Team C,Team D,1,19:59,5,5,0,0,Team D,4,Puck Recovery,6,5.5,,,,,,,
11/15/2024,Team C,Team D,1,19:57,5,5,0,0,Team D,4,Dump In/Out,-3,33.5,Lost,,,,,,
11/15/2024,Team C,Team D,1,19:57,5,5,0,0,Team D,4,Zone Entry,-26,35.5,Dumped,,,,55.0,,
11/15/2024,Team C,Team D,1,19:54,5,5,0,0,Team C,55,Puck Recovery,-80,-39.5,,,,,,,
11/15/2024,Team C,Team D,1,19:51,5,5,0,0,Team C,55,Puck Recovery,-78,-26.5,,,,,,,
11/15/2024,Team C,Team D,1,19:51,5,5,0,0,Team C,55,Play,-78,-26.5,Direct,,,,26.0,-65.0,-26.5
11/15/2024,Team C,Team D,1,19:49,5,5,0,0,Team C,26,Play,-38,-37.5,Indirect,,,,62.0,5.0,38.5
11/15/2024,Team C,Team D,1,19:46,5,5,0,0,Team C,62,Dump In/Out,5,38.5,Lost,,,,,,
11/15/2024,Team C,Team D,1,19:46,5,5,0,0,Team C,62,Zone Entry,24,37.5,Dumped,,,,4.0,,
11/15/2024,Team C,Team D,1,19:43,5,5,0,0,Team D,47,Puck Recovery,95,5.5,,,,,,,
11/15/2024,Team C,Team D,1,19:43,5,5,0,0,Team D,47,Play,95,5.5,Indirect,,,,4.0,97.0,3.5
11/15/2024,Team C,Team D,1,19:36,5,5,0,0,Team C,26,Puck Recovery,98,0.5,,,,,,,
11/15/2024,Team C,Team D,1,19:35,5,5,0,0,Team C,26,Play,96,16.5,Indirect,,,,41.0,27.0,29.5
11/15/2024,Team C,Team D,1,19:32,5,5,0,0,Team C,41,Shot,30,37.5,Wristshot,Blocked,t,f,,,
11/15/2024,Team C,Team D,1,19:30,5,5,0,0,Team D,45,Puck Recovery,66,35.5,,,,,,,
11/15/2024,Team C,Team D,1,19:29,5,5,0,0,Team D,45,Play,90,31.5,Indirect,,,,27.0,62.0,-40.5
11/15/2024,Team C,Team D,1,19:26,5,5,0,0,Team D,27,Play,62,-40.5,Direct,,,,47.0,71.0,-38.5
11/15/2024,Team C,Team D,1,19:24,5,5,0,0,Team C,26,Puck Recovery,72,-30.5,,,,,,,
11/15/2024,Team C,Team D,1,19:24,5,5,0,0,Team C,26,Play,72,-30.5,Direct,,,,62.0,37.0,6.5
11/15/2024,Team C,Team D,1,19:22,5,5,0,0,Team C,62,Shot,61,15.5,Wristshot,Missed,t,f,,,
11/15/2024,Team C,Team D,1,19:20,5,5,0,0,Team C,55,Puck Recovery,52,-33.5,,,,,,,
11/15/2024,Team C,Team D,1,19:20,5,5,0,0,Team C,55,Shot,52,-33.5,Slapshot,Blocked,t,f,,,
11/15/2024,Team C,Team D,1,19:18,5,5,0,0,Team D,45,Puck Recovery,73,14.5,,,,,,,
11/15/2024,Team C,Team D,1,19:18,5,5,0,0,Team C,62,Puck Recovery,68,15.5,,,,,,,
11/15/2024,Team C,Team D,1,19:17,5,5,0,0,Team C,26,Puck Recovery,51,12.5,,,,,,,
11/15/2024,Team C,Team D,1,19:13,5,5,0,0,Team D,25,Puck Recovery,85,38.5,,,,,,,
11/15/2024,Team C,Team D,1,19:12,5,5,0,0,Team D,25,Dump In/Out,86,34.5,Lost,,,,,,
11/15/2024,Team C,Team D,1,19:07,5,5,0,0,Team C,55,Puck Recovery,-64,-17.5,,,,,,,
11/15/2024,Team C,Team D,1,19:03,5,5,0,0,Team C,55,Incomplete Play,-45,11.5,Indirect,,,,70.0,-9.0,22.5
11/15/2024,Team C,Team D,1,19:02,5,5,0,0,Team D,44,Puck Recovery,2,35.5,,,,,,,
11/15/2024,Team C,Team D,1,19:01,5,5,0,0,Team D,44,Dump In/Out,-3,39.5,Retained,,,,,,
11/15/2024,Team C,Team D,1,19:01,5,5,0,0,Team D,44,Zone Entry,-25,40.5,Dumped,,,,55.0,,
11/15/2024,Team C,Team D,1,18:58,5,5,0,0,Team D,41,Puck Recovery,-66,-40.5,,,,,,,
11/15/2024,Team C,Team D,1,18:58,5,5,0,0,Team D,41,Incomplete Play,-72,-38.5,Direct,,,,18.0,-80.0,-2.5
11/15/2024,Team C,Team D,1,18:55,5,5,0,0,Team D,44,Puck Recovery,-56,41.5,,,,,,,
11/15/2024,Team C,Team D,1,18:55,5,5,0,0,Team D,44,Play,-56,41.5,Indirect,,,,41.0,-77.0,-40.5
11/15/2024,Team C,Team D,1,18:51,5,5,0,0,Team D,41,Play,-77,-40.5,Indirect,,,,18.0,-98.0,-18.5
11/15/2024,Team C,Team D,1,18:49,5,5,0,0,Team D,18,Play,-98,-18.5,Indirect,,,,44.0,-31.0,41.5
