Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
11/16/2024,Team E,Team F,1,20:00,5,5,0,0,Team F,27,Faceoff Win,0,0.5,Backhand,,,,68,,
11/16/2024,Team E,Team F,1,19:56,5,5,0,0,Team F,78,Puck Recovery,17,-23.5,,,,,,,
11/16/2024,Team E,Team F,1,19:55,5,5,0,0,Team F,78,Dump In/Out,-1,-35.5,Retained,,,,,,
11/16/2024,Team E,Team F,1,19:55,5,5,0,0,Team F,78,Zone Entry,-25,-32.5,Dumped,,,,29,,
11/16/2024,Team E,Team F,1,19:52,5,5,0,0,Team F,56,Puck Recovery,-80,38.5,,,,,,,
11/16/2024,Team E,Team F,1,19:52,5,5,0,0,Team F,56,Play,-80,38.5,Indirect,,,,21,-96.0,15.5
11/16/2024,Team E,Team F,1,19:51,5,5,0,0,Team F,21,Play,-96,15.5,Direct,,,,78,-43.0,-2.5
11/16/2024,Team E,Team F,1,19:50,5,5,0,0,Team F,78,Incomplete Play,-43,-2.5,Indirect,,,,56,-63.0,38.5
11/16/2024,Team E,Team F,1,19:46,5,5,0,0,Team E,19,Puck Recovery,-40,23.5,,,,,,,
11/16/2024,Team E,Team F,1,19:46,5,5,0,0,Team E,19,Play,-40,23.5,Direct,,,,68,-18.0,-4.5
11/16/2024,Team E,Team F,1,19:43,5,5,0,0,Team E,68,Dump In/Out,25,-37.5,Lost,,,,,,
11/16/2024,Team E,Team F,1,19:43,5,5,0,0,Team E,68,Zone Entry,25,-37.5,Dumped,,,,78,,
11/16/2024,Team E,Team F,1,19:40,5,5,0,0,Team F,5,Puck Recovery,95,-6.5,,,,,,,
11/16/2024,Team E,Team F,1,19:40,5,5,0,0,Team F,5,Play,95,-6.5,Indirect,,,,56,51.0,38.5
11/16/2024,Team E,Team F,1,19:33,5,5,0,0,Team F,78,Puck Recovery,84,-32.5,,,,,,,
11/16/2024,Team E,Team F,1,19:32,5,5,0,0,Team F,78,Incomplete Play,93,-22.5,Indirect,,,,56,92.0,-7.5
11/16/2024,Team E,Team F,1,19:31,5,5,0,0,Team E,68,Puck Recovery,95,-6.5,,,,,,,
11/16/2024,Team E,Team F,1,19:29,5,5,0,0,Team E,68,Play,92,24.5,Direct,,,,4,30.0,38.5
11/16/2024,Team E,Team F,1,19:28,5,5,0,0,Team E,4,Play,30,38.5,Direct,,,,29,30.0,-18.5
11/16/2024,Team E,Team F,1,19:26,5,5,0,0,Team E,29,Play,36,-33.5,Indirect,,,,19,97.0,1.5
11/16/2024,Team E,Team F,1,19:20,5,5,0,0,Team E,19,Play,47,-36.5,Indirect,,,,68,95.0,-21.5
11/16/2024,Team E,Team F,1,19:15,5,5,0,0,Team F,21,Puck Recovery,84,-33.5,,,,,,,
11/16/2024,Team E,Team F,1,19:15,5,5,0,0,Team F,21,Play,84,-33.5,Indirect,,,,56,59.0,-38.5
11/16/2024,Team E,Team F,1,19:14,5,5,0,0,Team F,56,Dump In/Out,59,-38.5,Lost,,,,,,
11/16/2024,Team E,Team F,1,19:08,5,5,0,0,Team E,20,Puck Recovery,-94,-21.5,,,,,,,
11/16/2024,Team E,Team F,1,19:03,5,5,0,0,Team E,20,Play,-97,-0.5,Direct,,,,11,-75.0,-15.5
11/16/2024,Team E,Team F,1,19:01,5,5,0,0,Team E,11,Play,-63,-33.5,Indirect,,,,47,-18.0,-35.5
11/16/2024,Team E,Team F,1,18:59,5,5,0,0,Team E,47,Play,16,-17.5,Direct,,,,11,44.0,-36.5
11/16/2024,Team E,Team F,1,18:58,5,5,0,0,Team E,47,Zone Entry,25,-19.5,Played,,,,3,,
11/16/2024,Team E,Team F,1,18:57,5,5,0,0,Team E,11,Goal,82,-6.5,Wristshot,On Net,f,f,,,
11/16/2024,Team E,Team F,1,18:55,5,5,1,0,Team E,12,Faceoff Win,0,0.5,Backhand,,,,29,,
11/16/2024,Team E,Team F,1,18:53,5,5,1,0,Team E,18,Puck Recovery,-25,19.5,,,,,,,
11/16/2024,Team E,Team F,1,18:52,5,5,1,0,Team E,18,Play,-25,19.5,Direct,,,,20,-21.0,-17.5
11/16/2024,Team E,Team F,1,18:51,5,5,1,0,Team E,20,Play,-20,-37.5,Direct,,,,47,1.0,-34.5
11/16/2024,Team E,Team F,1,18:46,5,5,1,0,Team E,12,Puck Recovery,3,-37.5,,,,,,,
11/16/2024,Team E,Team F,1,18:46,5,5,1,0,Team E,12,Play,3,-37.5,Direct,,,,20,-17.0,-37.5
11/16/2024,Team E,Team F,1,18:44,5,5,1,0,Team E,20,Play,-17,-37.5,Direct,,,,18,-34.0,23.5
11/16/2024,Team E,Team F,1,18:41,5,5,1,0,Team E,18,Play,-47,36.5,Direct,,,,11,1.0,37.5
11/16/2024,Team E,Team F,1,18:40,5,5,1,0,Team E,11,Dump In/Out,1,37.5,Lost,,,,,,
11/16/2024,Team E,Team F,1,18:38,5,5,1,0,Team E,25,Faceoff Win,0,0.5,Backhand,,,,71,,
11/16/2024,Team E,Team F,1,18:37,5,5,1,0,Team E,45,Puck Recovery,-9,-1.5,,,,,,,
11/16/2024,Team E,Team F,1,18:37,5,5,1,0,Team E,45,Play,-9,-1.5,Direct,,,,42,1.0,12.5
11/16/2024,Team E,Team F,1,18:35,5,5,1,0,Team F,42,Puck Recovery,32,26.5,,,,,,,
11/16/2024,Team E,Team F,1,18:34,5,5,1,0,Team F,42,Play,47,33.5,Direct,,,,64,50.0,-10.5
11/16/2024,Team E,Team F,1,18:32,5,5,1,0,Team F,64,Play,65,-18.5,Indirect,,,,22,7.0,-36.5
11/16/2024,Team E,Team F,1,18:29,5,5,1,0,Team E,44,Puck Recovery,-54,-10.5,,,,,,,
11/16/2024,Team E,Team F,1,18:27,5,5,1,0,Team E,44,Play,-48,34.5,Direct,,,,42,4.0,37.5
11/16/2024,Team E,Team F,1,18:26,5,5,1,0,Team E,42,Dump In/Out,4,37.5,Lost,,,,,,
11/16/2024,Team E,Team F,1,18:26,5,5,1,0,Team E,42,Zone Entry,25,38.5,Dumped,,,,64,,
11/16/2024,Team E,Team F,1,18:22,5,5,1,0,Team F,64,Puck Recovery,95,9.5,,,,,,,
11/16/2024,Team E,Team F,1,18:22,5,5,1,0,Team F,64,Play,95,9.5,Indirect,,,,22,43.0,-39.5
11/16/2024,Team E,Team F,1,18:16,5,5,1,0,Team E,Go,Puck Recovery,-97,0.5,,,,,,,
11/16/2024,Team E,Team F,1,18:15,5,5,1,0,Team E,Go,Play,-97,0.5,Direct,,,,42,-86.0,-30.5
11/16/2024,Team E,Team F,1,18:14,5,5,1,0,Team E,42,Play,-88,-28.5,Indirect,,,,36,-59.0,-37.5
11/16/2024,Team E,Team F,1,18:11,5,5,1,0,Team F,71,Puck Recovery,-71,-37.5,,,,,,,
11/16/2024,Team E,Team F,1,18:11,5,5,1,0,Team F,71,Play,-71,-37.5,Direct,,,,38,-70.0,-19.5
11/16/2024,Team E,Team F,1,18:07,5,5,1,0,Team E,45,Puck Recovery,-65,-13.5,,,,,,,
11/16/2024,Team E,Team F,1,18:05,5,5,1,0,Team E,45,Play,-38,-37.5,Indirect,,,,42,-12.0,-36.5
11/16/2024,Team E,Team F,1,18:03,5,5,1,0,Team E,42,Dump In/Out,25,-38.5,Lost,,,,,,
11/16/2024,Team E,Team F,1,18:03,5,5,1,0,Team E,42,Zone Entry,25,-38.5,Dumped,,,,42,,
11/16/2024,Team E,Team F,1,17:58,5,5,1,0,Team F,71,Puck Recovery,97,2.5,,,,,,,
11/16/2024,Team E,Team F,1,17:56,5,5,1,0,Team F,71,Play,71,31.5,Direct,,,,38,25.0,37.5
11/16/2024,Team E,Team F,1,17:53,5,5,1,0,Team F,38,Dump In/Out,-8,36.5,Lost,,,,,,
11/16/2024,Team E,Team F,1,17:53,5,5,1,0,Team F,38,Zone Entry,-26,37.5,Dumped,,,,4,,
11/16/2024,Team E,Team F,1,17:50,5,5,1,0,Team E,Go,Puck Recovery,-97,0.5,,,,,,,
11/16/2024,Team E,Team F,1,17:50,5,5,1,0,Team E,Go,Play,-97,0.5,Indirect,,,,4,-83.0,37.5
11/16/2024,Team E,Team F,1,17:48,5,5,1,0,Team E,4,Play,-79,38.5,Direct,,,,75,-49.0,40.5
11/16/2024,Team E,Team F,1,17:46,5,5,1,0,Team E,75,Dump In/Out,-50,37.5,Lost,,,,,,
11/16/2024,Team E,Team F,1,17:43,5,5,1,0,Team F,49,Puck Recovery,-9,-25.5,,,,,,,
11/16/2024,Team E,Team F,1,17:42,5,5,1,0,Team F,49,Dump In/Out,-11,-36.5,Lost,,,,,,
11/16/2024,Team E,Team F,1,17:42,5,5,1,0,Team F,49,Zone Entry,-26,-38.5,Dumped,,,,29,,
11/16/2024,Team E,Team F,1,17:40,5,5,1,0,Team E,Go,Puck Recovery,-97,0.5,,,,,,,
11/16/2024,Team E,Team F,1,17:39,5,5,1,0,Team E,Go,Play,-97,0.5,Direct,,,,4,-91.0,26.5
11/16/2024,Team E,Team F,1,17:38,5,5,1,0,Team E,4,Play,-86,33.5,Direct,,,,77,-58.0,14.5
11/16/2024,Team E,Team F,1,17:36,5,5,1,0,Team E,77,Incomplete Play,-42,39.5,Indirect,,,,75,-2.0,33.5
11/16/2024,Team E,Team F,1,17:35,5,5,1,0,Team F,5,Puck Recovery,1,42.5,,,,,,,
11/16/2024,Team E,Team F,1,17:35,5,5,1,0,Team F,5,Play,1,42.5,Direct,,,,36,-18.0,15.5
11/16/2024,Team E,Team F,1,17:30,5,5,1,0,Team F,36,Zone Entry,-26,-34.5,Carried,,,,29,,
11/16/2024,Team E,Team F,1,17:28,5,5,1,0,Team F,36,Incomplete Play,-94,-19.5,Indirect,,,,26,-94.0,14.5
11/16/2024,Team E,Team F,1,17:26,5,5,1,0,Team E,77,Takeaway,-97,-4.5,,,,,,,
11/16/2024,Team E,Team F,1,17:26,5,5,1,0,Team E,77,Incomplete Play,-97,-4.5,Indirect,,,,75,-74.0,36.5
11/16/2024,Team E,Team F,1,17:23,5,5,1,0,Team F,5,Puck Recovery,-92,16.5,,,,,,,
11/16/2024,Team E,Team F,1,17:21,5,5,1,0,Team F,5,Play,-97,-10.5,Direct,,,,36,-75.0,-30.5
